file_name,module,category,size_bytes,selected_sheet_export,automation_asset
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_OnDevice_Privacy_Guardrails_Test_Suite_v1.0_EN.docx,08_Privacy_and_Security,docx,37386,no,no
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_OnDevice_Privacy_Guardrails_Test_Suite_v1.0_RU.docx,08_Privacy_and_Security,docx,37669,no,no
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_Privacy_ContentGuardrails_v2_Test_Cases_v1.0.xlsx,08_Privacy_and_Security,xlsx,6808,yes,no
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_Privacy_ContentGuardrails_v2_Test_Suite_v1.0_EN.docx,08_Privacy_and_Security,docx,37504,no,no
Submission_Build_v4.2/08_Privacy_and_Security/Privacy/Uroflow_Privacy_ContentGuardrails_v2_Test_Suite_v1.0_RU.docx,08_Privacy_and_Security,docx,37745,no,no
Submission_Build_v4.2/10_Pilot_Automation/config/acceptance_metrics_config.json,10_Pilot_Automation,json,577,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/coverage_targets_config.json,10_Pilot_Automation,json,341,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/pre_freeze_gates_config.json,10_Pilot_Automation,json,870,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/privacy_content_guardrails_v2_config.json,10_Pilot_Automation,json,483,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/privacy_live_guardrails_config.json,10_Pilot_Automation,json,151,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/record_level_gates_config.json,10_Pilot_Automation,json,628,no,yes
Submission_Build_v4.2/10_Pilot_Automation/config/stand_pose_drift_config.json,10_Pilot_Automation,json,283,no,yes
Submission_Build_v4.2/10_Pilot_Automation/README_Pilot_Automation_v1.8.txt,10_Pilot_Automation,text,1378,no,yes
Submission_Build_v4.2/10_Pilot_Automation/README_Pilot_Automation_v1.9.txt,10_Pilot_Automation,text,2233,no,yes
Submission_Build_v4.2/10_Pilot_Automation/README_Pilot_Automation_v2.0.txt,10_Pilot_Automation,text,2971,no,yes
Submission_Build_v4.2/10_Pilot_Automation/README_Pilot_Automation_v2.1.txt,10_Pilot_Automation,text,2943,no,yes
Submission_Build_v4.2/10_Pilot_Automation/requirements_minimal.txt,10_Pilot_Automation,text,97,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_accuracy_acceptance_oneclick.bat,10_Pilot_Automation,batch,296,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_accuracy_acceptance_oneclick.sh,10_Pilot_Automation,shell,272,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_build_ethics_submission_pack_oneclick.bat,10_Pilot_Automation,batch,171,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_build_ethics_submission_pack_oneclick.sh,10_Pilot_Automation,shell,180,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_coverage_dashboard_oneclick.bat,10_Pilot_Automation,batch,375,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_coverage_dashboard_oneclick.sh,10_Pilot_Automation,shell,337,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_daily_qa_oneclick.bat,10_Pilot_Automation,batch,317,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_daily_qa_oneclick.sh,10_Pilot_Automation,shell,289,no,yes
